Year,Suburb,Name,Scientific Name,Bird Count,Bird Profile,lat,lon
2020,Aitkenvale,Apostlebird,Struthidea cinerea,2,https://birdlife.org.au/bird-profiles/apostlebird,,
2020,Aitkenvale,Apostlebird,Struthidea cinerea,2,https://birdlife.org.au/bird-profiles/apostlebird,,
2020,Aitkenvale,Australasian Darter,Anhinga novaehollandiae,1,https://birdlife.org.au/bird-profiles/australasian-darter,,
2020,Aitkenvale,Australasian Darter,Anhinga novaehollandiae,1,https://birdlife.org.au/bird-profiles/australasian-darter,,
2020,Aitkenvale,Australasian Darter,Anhinga novaehollandiae,1,https://birdlife.org.au/bird-profiles/australasian-darter,,
2020,Aitkenvale,Australasian Darter,Anhinga novaehollandiae,2,https://birdlife.org.au/bird-profiles/australasian-darter,,
2020,Aitkenvale,Australasian Darter,Anhinga novaehollandiae,2,https://birdlife.org.au/bird-profiles/australasian-darter,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,1,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,1,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,1,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,1,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,2,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,2,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,2,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,5,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,6,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australasian Figbird,Sphecotheres vieilloti,8,https://birdlife.org.au/bird-profiles/australasian-figbird ,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,1,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,2,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,2,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,3,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,3,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,3,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,3,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,3,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,4,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Magpie,Gymnorhina tibicen,5,https://birdlife.org.au/bird-profiles/australian-magpie,,
2020,Aitkenvale,Australian Pelican,Pelecanus conspicillatus,1,https://birdlife.org.au/bird-profiles/australian-pelican ,,
2020,Aitkenvale,Australian Pelican,Pelecanus conspicillatus,2,https://birdlife.org.au/bird-profiles/australian-pelican ,,
2020,Aitkenvale,Australian White Ibis,Threskiornis moluccus,1,https://birdlife.org.au/bird-profiles/australian-white-ibis ,,
2020,Aitkenvale,Australian White Ibis,Threskiornis moluccus,1,https://birdlife.org.au/bird-profiles/australian-white-ibis ,,
